元件,触点,描述,连接描述,功能说明,备注,,,,,,,,,,,,,,
直流放大板,X1,,差分转集电极模块-触点A,,,,,,,,,,,,,,,,
直流放大板,X2,,运动控制卡-触点Y0,,,,,,,,,,,,,,,,
直流放大板,X3,,运动控制卡-触点Y1,,,,,,,,,,,,,,,,
直流放大板,X4,,运动控制卡-触点Y2,,,,,,,,,,,,,,,,
直流放大板,X5,,运动控制卡-触点Y3,,,,,,,,,,,,,,,,
直流放大板,Y1,,电磁阀-Festo-正极,,,,,,,,,,,,,,,,
直流放大板,Y2,,电磁阀-SMC-正极,,,,,,,,,,,,,,,,
直流放大板,Y3,,电磁阀-Roany1-正极,,,,,,,,,,,,,,,,
直流放大板,Y4,,电磁阀-Roany2-正极,,,,,,,,,,,,,,,,
直流放大板,Y5,,照明-正极,,,,,,,,,,,,,,,,
中间继电器,1,常闭触点 (NC),无,,,,,,,,,,,,,,,,
中间继电器,4,常闭触点 (NC),无,,,,,,,,,,,,,,,,
中间继电器,5,常开触点 (NO)​,开关电源24V-直流负极输出,,,,,,,,,,,,,,,,
中间继电器,8,常开触点 (NO)​,开关电源24V-直流正极输出,,,,,,,,,,,,,,,,
中间继电器,9,公共端 (COM)​,伺服电机-Y轴1-红白,,,,,,,,,,,,,,,,
中间继电器,9,公共端 (COM)​,伺服电机-Y轴2-红白,,,,,,,,,,,,,,,,
中间继电器,9,公共端 (COM)​,伺服电机-X轴-红白,,,,,,,,,,,,,,,,
中间继电器,12,公共端 (COM)​,伺服电机-Y轴1-红,,,,,,,,,,,,,,,,
中间继电器,12,公共端 (COM)​,伺服电机-Y轴2-红,,,,,,,,,,,,,,,,
中间继电器,12,公共端 (COM)​,伺服电机-X轴-红,,,,,,,,,,,,,,,,
中间继电器,13,线圈引脚,运动控制卡-触点Y7,,,,,,,,,,,,,,,,
中间继电器,14,线圈引脚,开关电源24V-直流正极输出,,,,,,,,,,,,,,,,
差分转集电极模块,OUT-A,集电极开路输出 A,直流放大板-触点X1,,,,,,,,,,,,,,,,
差分转集电极模块,GND,模块的工作电源正极输入,开关电源24V-直流负极输出,,,,,,,,,,,,,,,,
差分转集电极模块,24V,模块工作电源的接地,开关电源24V-直流正极输出,,,,,,,,,,,,,,,,
差分转集电极模块,IN-A-,差分输入通道A的反相信号,运动控制卡-触点CMP+,,,,,,,,,,,,,,,,
差分转集电极模块,IN-A+,差分输入通道A的正相信号,运动控制卡-触点CMP-,,,,,,,,,,,,,,,,
滤波器,​L​,输入端 (LINE) - 火线,空开1P-左-下端,,,,,,,,,,,,,,,,
滤波器,​N​,输入端 (LINE) - 零线,交流接触器-触点4,,,,,,,,,,,,,,,,
滤波器,​1​,输出端 (LOAD) - 火线,开关电源24V-L,,,,,,,,,,,,,,,,
滤波器,​3,输出端 (LOAD) - 零线,开关电源24V-N,,,,,,,,,,,,,,,,
开关电源24V,​L​,火线,,,,,,,,,,,,,,,,,
开关电源24V,​N​,零线,,,,,,,,,,,,,,,,,
开关电源24V,V+,直流正极输出,,,,,,,,,,,,,,,,,
开关电源24V,V-,直流负极输出,,,,,,,,,,,,,,,,,
固态继电器1,1,输出端：交流（AC），24-380V,空开1P-右-上端,,,,,,,,,,,,,,,,
固态继电器1,2,输出端：交流（AC），24-380V,熔断器1-上端,,,,,,,,,,,,,,,,
固态继电器1,3,​输入端​：直流（DC），3-32V,温度控制器-胶筒-触点5,,,,,,,,,,,,,,,,
固态继电器1,4,​输入端​：直流（DC），3-32V,温度控制器-胶筒-触点6,,,,,,,,,,,,,,,,
固态继电器2,1,输出端：交流（AC），24-380V,空开1P-右-上端,,,,,,,,,,,,,,,,
固态继电器2,2,输出端：交流（AC），24-380V,熔断器2-上端,,,,,,,,,,,,,,,,
固态继电器2,3,​输入端​：直流（DC），3-32V,温度控制器-胶枪-触点5,,,,,,,,,,,,,,,,
固态继电器2,4,​输入端​：直流（DC），3-32V,温度控制器-胶枪-触点6,,,,,,,,,,,,,,,,
熔断器1,上端,,固态继电器1-触点2,,,,,,,,,,,,,,,,
熔断器1,下端,,胶筒-红,,,,,,,,,,,,,,,,
熔断器2,上端,,固态继电器2-触点2,,,,,,,,,,,,,,,,
熔断器2,下端,,胶枪-红,,,,,,,,,,,,,,,,
胶筒,红,电源220V正极,熔断器1-下端,,2,,,,,,,,,,,,,,
胶筒,蓝,电源220V负极,交流接触器-触点6,,1,,,,,,,,,,,,,,
胶筒,棕,,温度控制器-胶筒-触点9,,3,,,,,,,,,,,,,,
胶筒,黄,,温度控制器-胶筒-触点7,,4,,,,,,,,,,,,,,
胶枪,红,电源220V正极,熔断器2-下端,,,,,,,,,,,,,,,,
胶枪,蓝,电源220V负极,交流接触器-触点6,,,,,,,,,,,,,,,,
胶枪,棕,,温度控制器-胶枪-触点9,,,,,,,,,,,,,,,,
胶枪,黄,,温度控制器-胶枪-触点7,,,,,,,,,,,,,,,,
空开1P-左,上端,,交流接触器-触点2,,,,,,,,,,,,,,,,
空开1P-左,下端,,复合按钮开关-胶筒启动键触点14,,,,,,,,,,,,,,,,
空开1P-左,下端,,复合按钮开关-胶枪启动键触点14,,,,,,,,,,,,,,,,
空开1P-左,下端,,滤波器-触点L,,,,,,,,,,,,,,,,
空开1P-中,上端,,交流接触器-触点2,,,,,,,,,,,,,,,,
空开1P-中,下端,,伺服电机-Y轴1-电源220V正极,,,,,,,,,,,,,,,,
空开1P-中,下端,,伺服电机-Y轴2-电源220V正极,,,,,,,,,,,,,,,,
空开1P-右,上端,,交流接触器-触点2,,,,,,,,,,,,,,,,
空开1P-右,下端,,伺服电机-X轴-电源220V正极,,,,,,,,,,,,,,,,
胶筒,蓝,电源220V负极,交流接触器-触点6,,,,,,,,,,,,,,,,
胶筒,红,电源220V正极,熔断器1-下端,,,,,,,,,,,,,,,,
胶筒,黄,,温度控制器-胶筒-触点7,,,,,,,,,,,,,,,,
胶筒,棕,,温度控制器-胶筒-触点9,,,,,,,,,,,,,,,,
